year,fips,emp_agforest,emp_mining,emp_util,emp_const,emp_manuf,emp_wholesale,emp_retail,emp_transport,emp_info,emp_finance,emp_realestate,emp_profsci,emp_mgmn,emp_admin,emp_educ,emp_health,emp_arts,emp_food,emp_other
2001,6001,185,287,1564,43746,95807,59377,67787,32232,27778,23332,11933,50426,22511,60461,13228,73668,7565,40722,28626
2001,6005,66,51,0,392,850,193,1710,0,236,246,145,216,0,181,0,1170,0,807,452
2001,6061,0,0,0,13509,8772,4424,17125,1303,3565,4666,2982,4690,1514,8521,986,9954,3316,14593,6201
2001,6113,296,318,0,3618,5653,6546,6596,3437,985,4913,1439,2938,2543,3044,562,5010,1820,4744,2316
2001,6007,217,0,74,3238,4763,1962,9478,924,1668,2360,1188,2693,155,3732,191,11186,1838,6261,3552
2001,6011,77,NA,0,94,636,320,486,223,0,111,0,0,0,0,0,227,0,458,127
2001,6009,70,0,0,988,501,97,1048,84,106,211,78,246,0,235,0,911,395,779,351
2001,6015,66,NA,0,277,223,135,857,57,96,99,67,114,NA,0,0,951,246,707,172
2001,6013,97,188,1908,26485,19240,13188,42933,4964,18946,28033,8304,27226,11688,33158,6566,37562,6261,25136,14528
2001,6017,123,50,143,4379,2191,596,5710,497,2141,916,903,2684,90,1989,309,4480,1983,7735,1613
2001,6019,2773,223,2022,15615,25833,14198,32648,6750,5586,10618,4134,9190,2958,13919,3060,33357,3765,19844,11719
2001,6023,791,0,0,1992,4971,1395,7220,752,647,1202,584,1667,360,1225,634,7039,661,4563,1619
2001,6021,67,0,0,328,811,418,741,172,53,151,67,138,NA,0,0,347,0,482,140
2001,6027,0,0,0,263,233,199,1138,74,91,94,105,130,0,179,0,1009,259,1350,179
2001,6025,1093,0,291,1479,1588,1715,6484,1274,473,921,495,662,150,863,0,3401,0,2697,1102
2001,6029,1584,6616,1261,11080,12760,8019,24264,5078,3385,6278,2841,8503,2811,11320,1291,21188,1730,15005,7341
2001,6037,1254,2860,7650,141559,590921,277678,376071,153905,194658,182983,87291,432820,77081,308986,108751,389885,76127,285542,169616
2001,6033,0,0,0,796,371,230,2079,0,252,409,0,0,0,485,0,1899,721,992,912
2001,6035,79,0,55,209,336,0,1036,0,175,117,0,81,0,0,0,707,0,605,193
2001,6031,327,0,0,1008,3283,602,3644,494,342,651,315,358,205,849,368,2832,1733,2031,671
2001,6039,160,0,91,1756,5091,935,3178,288,486,409,262,600,0,4438,142,2807,142,1993,931
2001,6041,0,0,0,9110,3750,4179,16385,1683,7658,8473,2799,9966,1579,7489,4574,12704,2382,10208,5360
2001,6043,0,0,0,187,109,24,377,0,0,75,61,54,0,186,88,341,189,1314,112
2001,6045,524,0,0,1389,4087,1211,4790,385,466,589,591,754,125,574,203,3947,931,3684,878
2001,6047,899,0,294,2559,8497,1500,6945,1532,1556,1025,539,806,216,1288,168,5679,450,4024,1486
2001,6053,1580,136,699,6736,6863,7649,17717,2254,4009,3618,2228,5638,381,6551,2127,12690,2479,17193,5364
2001,6049,0,0,0,61,0,261,0,0,0,0,0,0,NA,0,0,509,NA,197,88
2001,6051,0,0,0,490,0,0,828,0,54,92,312,173,NA,109,0,269,92,3651,274
2001,6055,311,0,0,3467,10622,1488,6427,659,894,1526,1180,1850,352,2367,1632,9319,696,7202,1733
2001,6057,208,91,96,2662,2907,478,4445,322,407,880,544,1179,0,2216,324,3942,1181,4687,1444
2001,6059,283,779,4189,90251,216725,106963,144996,32284,42164,90032,38450,107636,48599,141620,21453,111153,30205,115998,54123
2001,6063,71,0,132,442,669,114,707,0,147,186,59,162,NA,0,102,818,80,550,264
2001,6067,396,307,1508,34372,27419,20499,59000,14042,23670,37493,9652,28746,10127,36895,6314,56604,7132,37457,24439
2001,6065,1584,471,638,50893,54148,17344,65367,10304,9075,10262,7627,11987,4339,30891,3845,45135,16097,49282,18600
2001,6071,529,1098,2188,37631,69851,29518,66128,27885,9118,15327,8044,13069,4653,34355,8536,59300,7510,41615,23703
2001,6069,258,0,0,1381,2636,756,1834,238,89,271,154,257,0,497,0,1031,291,1059,368
2001,6075,0,0,0,24382,18778,20742,44156,15249,38471,65148,13863,80688,12734,41845,14388,54412,12935,62928,23260
2001,6073,901,448,3626,77841,119555,59175,144791,19434,36553,47431,29725,100820,17389,87876,22065,114863,28543,114462,50365
2001,6079,529,263,0,6043,6972,2444,13213,1490,1744,2678,1570,3949,443,3826,2231,13042,947,11862,3885
2001,6077,929,208,290,14433,24237,9924,23203,10054,2557,6901,3310,4277,1461,10972,4459,21693,2095,13643,7423
2001,6083,585,1207,176,8757,16416,5165,20911,2254,5547,5514,3615,9035,1663,10212,3364,16352,3354,19505,6475
2001,6081,240,63,730,24758,30340,22864,41663,36058,30191,18159,9434,43039,13390,33693,4311,25630,4680,28663,12310
2001,6085,177,154,1861,53996,201577,75179,88367,12300,65420,22019,14593,147352,45543,83391,29332,71678,12785,61183,30431
2001,6087,0,164,183,5212,8247,5533,13207,1333,2386,2065,1718,5641,2531,4384,1751,10424,1914,10179,4126
2001,6091,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,98,0,0,5
2001,6093,186,0,0,729,976,290,1978,237,235,344,117,245,0,336,0,1690,360,1624,365
2001,6089,403,76,0,3342,3576,1941,8341,1458,1166,1313,905,2220,345,2404,1232,9847,908,5340,2511
2001,6095,0,221,0,10904,10116,3795,17904,2507,1348,3734,1837,3760,1708,7913,961,15835,1875,10129,4729
2001,6097,493,243,715,13405,29381,7932,25972,2597,4706,8941,3076,8327,1507,12429,2119,23284,3089,16009,7019
2001,6099,1925,0,0,11074,22640,6048,20488,3510,1956,3670,3177,3896,793,7821,1124,18205,1355,11861,5897
