ua_dist,ua_nn_name,uc_dist,uc_nn_name
32568.309518223326,"Eugene, OR Urbanized Area",22682.684090382805,"Veneta, OR Urban Cluster"
7691.968279216178,"Eugene, OR Urbanized Area",7691.968279216178,"Eugene, OR Urbanized Area"
26931.583948634307,"Grants Pass, OR Urbanized Area",26931.583948634307,"Grants Pass, OR Urbanized Area"
25400.79296258098,"Grants Pass, OR Urbanized Area",24003.225931622874,"Tri-City--Myrtle Creek, OR Urban Cluster"
25790.402277264562,"Grants Pass, OR Urbanized Area",20595.174170273513,"Tri-City--Myrtle Creek, OR Urban Cluster"
17343.156031132705,"Grants Pass, OR Urbanized Area",17343.156031132705,"Grants Pass, OR Urbanized Area"
75573.06070117105,"Eugene, OR Urbanized Area",26369.192586959176,"Roseburg, OR Urban Cluster"
54731.284519102075,"Spokane, WA Urbanized Area",53769.118152971794,"Medical Lake, WA Urban Cluster"
55127.4455007502,"Spokane, WA Urbanized Area",54209.738547539266,"Medical Lake, WA Urban Cluster"
54947.15070737938,"Spokane, WA Urbanized Area",54040.64177880361,"Medical Lake, WA Urban Cluster"
55265.427356559114,"Spokane, WA Urbanized Area",54335.02788713077,"Medical Lake, WA Urban Cluster"
55379.775262013114,"Spokane, WA Urbanized Area",54426.37006728486,"Medical Lake, WA Urban Cluster"
54905.60216421454,"Spokane, WA Urbanized Area",54009.72681207586,"Medical Lake, WA Urban Cluster"
54898.392821820045,"Spokane, WA Urbanized Area",54035.82953847399,"Medical Lake, WA Urban Cluster"
25144.157849713014,"Grants Pass, OR Urbanized Area",25144.157849713014,"Grants Pass, OR Urbanized Area"
24432.00528040149,"Grants Pass, OR Urbanized Area",22580.55421329227,"Tri-City--Myrtle Creek, OR Urban Cluster"
45543.532368951834,"Eugene, OR Urbanized Area",31992.08966635899,"Florence, OR Urban Cluster"
70631.34447505431,"Grants Pass, OR Urbanized Area",12438.711316501705,"Roseburg, OR Urban Cluster"
26078.529490918376,"Eugene, OR Urbanized Area",21880.790835684908,"Junction City, OR Urban Cluster"
44903.93678665871,"Eugene, OR Urbanized Area",20168.715801129158,"Cottage Grove, OR Urban Cluster"
46114.339201311435,"Eugene, OR Urbanized Area",21598.578146454947,"Cottage Grove, OR Urban Cluster"
46797.103329002486,"Eugene, OR Urbanized Area",22433.274918080213,"Cottage Grove, OR Urban Cluster"
10826.871923873656,"Corvallis, OR Urbanized Area",10826.871923873656,"Corvallis, OR Urbanized Area"
23020.625464855988,"Grants Pass, OR Urbanized Area",23020.625464855988,"Grants Pass, OR Urbanized Area"
16838.356363700277,"Eugene, OR Urbanized Area",10951.516068459223,"Veneta, OR Urban Cluster"
83670.17373223066,"Grants Pass, OR Urbanized Area",14647.751950067892,"Coquille, OR Urban Cluster"
11501.31434565334,"Grants Pass, OR Urbanized Area",11501.31434565334,"Grants Pass, OR Urbanized Area"
25829.399832028404,"Grants Pass, OR Urbanized Area",15917.614827210231,"Shady Cove, OR Urban Cluster"
24428.47725880287,"Longview, WA--OR Urbanized Area",14979.427230775671,"St. Helens, OR Urban Cluster"
24660.929815523363,"Longview, WA--OR Urbanized Area",15024.926752776817,"St. Helens, OR Urban Cluster"
24546.132702418625,"Longview, WA--OR Urbanized Area",14968.153872341827,"St. Helens, OR Urban Cluster"
24082.56311428851,"Longview, WA--OR Urbanized Area",14826.795465245057,"St. Helens, OR Urban Cluster"
24811.949475265497,"Longview, WA--OR Urbanized Area",15450.585053657722,"St. Helens, OR Urban Cluster"
24752.87658211524,"Longview, WA--OR Urbanized Area",15155.108171035166,"St. Helens, OR Urban Cluster"
26989.769521764734,"Corvallis, OR Urbanized Area",26989.769521764734,"Corvallis, OR Urbanized Area"
26913.286965379597,"Corvallis, OR Urbanized Area",26913.286965379597,"Corvallis, OR Urbanized Area"
22139.11407293689,"Eugene, OR Urbanized Area",16476.22604598417,"Veneta, OR Urban Cluster"
22262.198356692883,"Eugene, OR Urbanized Area",16601.004030281227,"Veneta, OR Urban Cluster"
22386.61136339342,"Eugene, OR Urbanized Area",16701.2522554634,"Veneta, OR Urban Cluster"
40042.713070853395,"Grants Pass, OR Urbanized Area",8977.658734186482,"Tri-City--Myrtle Creek, OR Urban Cluster"
54528.67843698604,"Grants Pass, OR Urbanized Area",10261.608201742705,"Roseburg, OR Urban Cluster"
243667.06400083567,"Bend, OR Urbanized Area",78375.08511204793,"Burns, OR Urban Cluster"
237013.37999914587,"Bend, OR Urbanized Area",72745.83470120214,"Burns, OR Urban Cluster"
245101.4828191154,"Bend, OR Urbanized Area",78033.85635899093,"Burns, OR Urban Cluster"
235641.69142085937,"Bend, OR Urbanized Area",82528.98378924561,"Burns, OR Urban Cluster"
236145.36497940682,"Bend, OR Urbanized Area",83228.36792054922,"Burns, OR Urban Cluster"
235960.27627954123,"Bend, OR Urbanized Area",82964.58753544088,"Burns, OR Urban Cluster"
235893.65685327747,"Bend, OR Urbanized Area",82835.71965550534,"Burns, OR Urban Cluster"
235990.96813944416,"Bend, OR Urbanized Area",83026.51912840549,"Burns, OR Urban Cluster"
235887.40360240176,"Bend, OR Urbanized Area",82794.76143103105,"Burns, OR Urban Cluster"
236152.6183657497,"Bend, OR Urbanized Area",83173.50935044151,"Burns, OR Urban Cluster"
236108.03922555965,"Bend, OR Urbanized Area",83160.15736883953,"Burns, OR Urban Cluster"
48582.3327470592,"Eugene, OR Urbanized Area",35660.36276276415,"Reedsport, OR Urban Cluster"
43819.251053011816,"Eugene, OR Urbanized Area",31893.972057940962,"Veneta, OR Urban Cluster"
37448.60450227825,"Eugene, OR Urbanized Area",27430.86693321293,"Veneta, OR Urban Cluster"
37262.45075113052,"Eugene, OR Urbanized Area",27266.148009144406,"Veneta, OR Urban Cluster"
83621.81530397636,"Grants Pass, OR Urbanized Area",14531.929546551104,"Coquille, OR Urban Cluster"
91968.3529289917,"Grants Pass, OR Urbanized Area",6384.137441279543,"Coquille, OR Urban Cluster"
41343.55880957084,"Eugene, OR Urbanized Area",30567.361347212554,"Veneta, OR Urban Cluster"
48589.42282816106,"Eugene, OR Urbanized Area",35648.51888413201,"Reedsport, OR Urban Cluster"
71472.25173980281,"Eugene, OR Urbanized Area",30349.075573187532,"Reedsport, OR Urban Cluster"
49592.24577708882,"Eugene, OR Urbanized Area",29865.693831414294,"Reedsport, OR Urban Cluster"
79232.17329784793,"Grants Pass, OR Urbanized Area",15781.698680806678,"Coquille, OR Urban Cluster"
45344.63574885624,"Eugene, OR Urbanized Area",35979.589138624826,"Veneta, OR Urban Cluster"
43836.26522970139,"Eugene, OR Urbanized Area",33503.50173047235,"Veneta, OR Urban Cluster"
40838.39579043728,"Eugene, OR Urbanized Area",28026.585151117164,"Veneta, OR Urban Cluster"
24841.013266745078,"Eugene, OR Urbanized Area",24841.013266745078,"Eugene, OR Urbanized Area"
24142.340077690133,"Eugene, OR Urbanized Area",24142.340077690133,"Eugene, OR Urbanized Area"
24168.143160263226,"Eugene, OR Urbanized Area",24168.143160263226,"Eugene, OR Urbanized Area"
24149.414337204376,"Eugene, OR Urbanized Area",24149.414337204376,"Eugene, OR Urbanized Area"
24148.69239359917,"Eugene, OR Urbanized Area",24148.69239359917,"Eugene, OR Urbanized Area"
24414.62437331182,"Eugene, OR Urbanized Area",24414.62437331182,"Eugene, OR Urbanized Area"
19603.149833811345,"Medford, OR Urbanized Area",19603.149833811345,"Medford, OR Urbanized Area"
19255.103681500415,"Medford, OR Urbanized Area",19255.103681500415,"Medford, OR Urbanized Area"
24977.94144410477,"Grants Pass, OR Urbanized Area",24977.94144410477,"Grants Pass, OR Urbanized Area"
24408.178846017192,"Grants Pass, OR Urbanized Area",24408.178846017192,"Grants Pass, OR Urbanized Area"
