invent_id,blm,pv,stf,usfs,lg,br,pvi,pvn,bia,stp,water,und,st,fws,coe,stl,pvu,stw,bpa,dod,gsa,nps,tot,blm_prop,pv_prop,stf_prop,usfs_prop,lg_prop,br_prop,pvi_prop,pvn_prop,bia_prop,stp_prop,water_prop,und_prop,st_prop,fws_prop,coe_prop,stl_prop,pvu_prop,stw_prop,bpa_prop,dod_prop,gsa_prop,nps_prop,tot_prop
2227,745126.2270000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745126.2270000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2228,558216.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558216.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2229,356123.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356123.989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2230,455425.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455425.753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2231,561238.2339999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561238.2339999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2232,284993.63399999996,99493.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384487.463,0.741229978674233,0.2587700213257669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2233,321807.109,339597.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661404.792,0.4865509184275762,0.5134490815724239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2234,157892.992,107262.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265155.439,0.5954733291365748,0.4045266708634251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2235,82536.177,109132.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191668.69,0.4306189863352225,0.5693810136647776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2236,210735.89299999998,88614.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299350.06299999997,0.7039781147465468,0.2960218852534533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2237,117347.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117347.212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2238,438799.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438799.796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2239,492888.164,174254.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667142.2779999999,0.7388051698321539,0.26119483016784617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2240,722321.079,62870.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.1730000001,0.9199302078756303,0.08006979212436968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
