project_id,worksite_id,project_year,state,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv,fips,county,state_fips,emp_agforest,emp_mining,emp_util,emp_const,emp_manuf,emp_wholesale,emp_retail,emp_transport,emp_info,emp_finance,emp_realestate,emp_profsci,emp_mgmn,emp_admin,emp_educ,emp_health,emp_arts,emp_food,emp_other,nlcd_2001,nlcd_2004,nlcd_2006,nlcd_2008,nlcd_2011,nlcd_2013,nlcd_2016,snet_distm,snet_name,snet_spp,snet_use,nhd_dist_m,nhd_leng_m,nhd_r_code,nhd_ftype,slope_deg,here_distm,here_speed,here_class,here_paved,here_publi,geometry
BLM - BLM_1351,BLM - BLM_1351-WS-2,2004,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,188179.7742205655,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,43,43,43,43,43,43,43,1.34,NA,Steelhead,Spawning and rearing,1.34,689,17100303011824,460,2.15519691,4.45,5,5,Y,Y,"c(-123.16387, 43.62949)"
BLM - BLM_1352,BLM - BLM_1352-WS-1,2004,OR,OLDHAM CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,48462.91791018367,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,21,21,21,21,21,21,21,1242.27,NA,Steelhead,Spawning and rearing,0.49,292,17100303000996,460,2.72612405,14.34,3,4,Y,Y,"c(-123.21792, 43.49029)"
BLM - BLM_1353,BLM - BLM_1353-WS-1,2004,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,104028.95969235488,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,43,43,43,43,43,43,43,0.07,Long Valley Creek,Steelhead,Spawning and rearing,0.07,296,17100303000488,460,1.01861787,1.8,7,5,N,Y,"c(-123.16036, 43.43086)"
BLM - BLM_1356,BLM - BLM_1356-WS-1,2004,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,21,21,21,21,21,21,21,22.31,Elk Creek,Coho salmon,Spawning and rearing,0.85,170,17100303007991,460,1.48639178,2.89,7,5,N,Y,"c(-123.43634, 43.80262)"
BLM - BLM_1356,BLM - BLM_1356-WS-2,2004,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,21,21,21,21,21,21,21,0.16,Elk Creek,Coho salmon,Spawning and rearing,0.16,63,17100303000641,460,3.11662555,1.88,7,5,N,Y,"c(-123.43562, 43.80723)"
BLM - BLM_1356,BLM - BLM_1356-WS-3,2004,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,21,21,21,21,21,21,21,382.29,Elk Creek,Coho salmon,Spawning and rearing,2.28,133,17100303007972,460,1.48639178,8.57,7,5,N,Y,"c(-123.44293, 43.79672)"
BLM - BLM_1356,BLM - BLM_1356-WS-4,2004,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,21,21,21,21,21,21,21,21.68,Elk Creek,Coho salmon,Spawning and rearing,1.56,272,17100303007972,460,1.54296088,5.56,7,5,N,Y,"c(-123.43906, 43.79487)"
BLM - BLM_290,BLM - BLM_290-WS-1,2002,OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,83164.4468572063,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,21,21,21,21,21,21,21,2876.39,North Fork Darby Creek,Steelhead,Spawning and rearing,16.04,95.46,17100302000117,460,3.01167798,4.76,7,5,N,Y,"c(-123.62888, 42.90235)"
BLM - BLM_291,BLM - BLM_291-WS-1,2002,OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,83164.4468572063,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,21,21,21,21,21,21,21,2912.7,North Fork Darby Creek,Steelhead,Spawning and rearing,5.97,280.52,17100302000837,460,3.01167798,27.45,7,5,N,Y,"c(-123.63035, 42.90288)"
BLM - BLM_292,BLM - BLM_292-WS-1,2002,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,42275.26048574654,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,21,21,21,21,21,21,21,-999.99,NA,NA,NA,8.88,634.27,17100305000717,460,2.36391616,5.84,7,5,N,Y,"c(-123.73456, 43.02688)"
