huc6,basin
160402,BLACK ROCK DESERT
170102,PEND OREILLE
170103,SPOKANE
170200,UPPER COLUMBIA
170300,YAKIMA
170501,MIDDLE SNAKE - BOISE
170502,MIDDLE SNAKE - POWDER
170601,LOWER SNAKE
170603,CLEARWATER
170701,MIDDLE COLUMBIA
170702,JOHN DAY
170703,DESCHUTES
170800,LOWER COLUMBIA
170900,WILLAMETTE
171001,WASHINGTON COASTAL
171002,NORTHERN OREGON COASTAL
171003,SOUTHERN OREGON COASTAL
171100,PUGET SOUND
171200,OREGON CLOSED BASINS
180102,KLAMATH
180200,UPPER SACRAMENTO
